,fileName,AbsFilePath
0,2019_100RECNX_RCNX4695.JPG,/tank/data/nna/cameraTrap/prudhoe/15/2019/100RECNX/RCNX4695.JPG
1,2019_101RECNX_RCNX2135.JPG,/tank/data/nna/cameraTrap/prudhoe/15/2019/101RECNX/RCNX2135.JPG
2,2019_100RECNX_RCNX0572.JPG,/tank/data/nna/cameraTrap/prudhoe/15/2019/100RECNX/RCNX0572.JPG
3,2019_Summer_100RECNX_RCNX4216.JPG,/tank/data/nna/cameraTrap/prudhoe/15/2019_Summer/100RECNX/RCNX4216.JPG
4,2019_101RECNX_RCNX5212.JPG,/tank/data/nna/cameraTrap/prudhoe/15/2019/101RECNX/RCNX5212.JPG
5,2019_Summer_100RECNX_RCNX6781.JPG,/tank/data/nna/cameraTrap/prudhoe/15/2019_Summer/100RECNX/RCNX6781.JPG
6,2019_100RECNX_RCNX9895.JPG,/tank/data/nna/cameraTrap/prudhoe/15/2019/100RECNX/RCNX9895.JPG
7,2019_Summer_100RECNX_RCNX5167.JPG,/tank/data/nna/cameraTrap/prudhoe/15/2019_Summer/100RECNX/RCNX5167.JPG
8,2019_101RECNX_RCNX5430.JPG,/tank/data/nna/cameraTrap/prudhoe/15/2019/101RECNX/RCNX5430.JPG
9,2019_100RECNX_RCNX6237.JPG,/tank/data/nna/cameraTrap/prudhoe/15/2019/100RECNX/RCNX6237.JPG
10,2019_100RECNX_RCNX1131.JPG,/tank/data/nna/cameraTrap/prudhoe/15/2019/100RECNX/RCNX1131.JPG
11,2019_Summer_100RECNX_RCNX6886.JPG,/tank/data/nna/cameraTrap/prudhoe/15/2019_Summer/100RECNX/RCNX6886.JPG
12,2019_101RECNX_RCNX0224.JPG,/tank/data/nna/cameraTrap/prudhoe/15/2019/101RECNX/RCNX0224.JPG
13,2019_101RECNX_RCNX0207.JPG,/tank/data/nna/cameraTrap/prudhoe/15/2019/101RECNX/RCNX0207.JPG
14,2019_100RECNX_RCNX4192.JPG,/tank/data/nna/cameraTrap/prudhoe/15/2019/100RECNX/RCNX4192.JPG
15,2019_101RECNX_RCNX4478.JPG,/tank/data/nna/cameraTrap/prudhoe/15/2019/101RECNX/RCNX4478.JPG
16,2019_101RECNX_RCNX3920.JPG,/tank/data/nna/cameraTrap/prudhoe/15/2019/101RECNX/RCNX3920.JPG
17,2019_Summer_100RECNX_RCNX4373.JPG,/tank/data/nna/cameraTrap/prudhoe/15/2019_Summer/100RECNX/RCNX4373.JPG
18,2019_100RECNX_RCNX5596.JPG,/tank/data/nna/cameraTrap/prudhoe/15/2019/100RECNX/RCNX5596.JPG
19,2019_101RECNX_RCNX2109.JPG,/tank/data/nna/cameraTrap/prudhoe/15/2019/101RECNX/RCNX2109.JPG
20,2019_Summer_100RECNX_RCNX8926.JPG,/tank/data/nna/cameraTrap/prudhoe/15/2019_Summer/100RECNX/RCNX8926.JPG
21,2019_Summer_100RECNX_RCNX7427.JPG,/tank/data/nna/cameraTrap/prudhoe/15/2019_Summer/100RECNX/RCNX7427.JPG
22,2019_Summer_100RECNX_RCNX9625.JPG,/tank/data/nna/cameraTrap/prudhoe/15/2019_Summer/100RECNX/RCNX9625.JPG
23,2019_101RECNX_RCNX6368.JPG,/tank/data/nna/cameraTrap/prudhoe/15/2019/101RECNX/RCNX6368.JPG
24,2019_101RECNX_RCNX5522.JPG,/tank/data/nna/cameraTrap/prudhoe/15/2019/101RECNX/RCNX5522.JPG
25,2019_100RECNX_RCNX5181.JPG,/tank/data/nna/cameraTrap/prudhoe/15/2019/100RECNX/RCNX5181.JPG
26,2019_101RECNX_RCNX5028.JPG,/tank/data/nna/cameraTrap/prudhoe/15/2019/101RECNX/RCNX5028.JPG
