File,RelativePath,Folder,Date,Time,ImageQuality,DeleteFlag,Caribou,Bear,Fox,Wolf,Muskox,Misc_Land_Animal,Human,Other,Comment,Snow_Cover,Camera_Failure,Not_Counted,First_Calf,Waterfowl,Upland_Game_Bird,Songbird,Sea_Shore_Bird,
RCNX0001.JPG,S15_5.5-6.9,15,05-May-2019,19:51:54,Ok,false,0,0,0,0,0,0,0,0,,,,false,false,false,false,false,false,
RCNX0002.JPG,S15_5.5-6.9,15,05-May-2019,19:52:04,Ok,false,0,0,0,0,0,0,0,0,,,,false,false,false,false,false,false,
RCNX0003.JPG,S15_5.5-6.9,15,05-May-2019,19:52:14,Ok,false,0,0,0,0,0,0,0,0,,,,false,false,false,false,false,false,
RCNX0004.JPG,S15_5.5-6.9,15,05-May-2019,19:55:00,Ok,false,0,0,0,0,0,0,0,0,Season_Start,99,,false,false,false,false,false,false,
RCNX0005.JPG,S15_5.5-6.9,15,05-May-2019,20:00:00,Ok,false,0,0,0,0,0,0,0,0,,,,false,false,false,false,false,false,
RCNX0006.JPG,S15_5.5-6.9,15,05-May-2019,20:05:00,Ok,false,0,0,0,0,0,0,0,0,,,,false,false,false,false,false,false,
RCNX0007.JPG,S15_5.5-6.9,15,05-May-2019,20:10:00,Ok,false,0,0,0,0,0,0,0,0,,,,false,false,false,false,false,false,
RCNX0008.JPG,S15_5.5-6.9,15,05-May-2019,20:15:00,Ok,false,0,0,0,0,0,0,0,0,,,,false,false,false,false,false,false,
RCNX0009.JPG,S15_5.5-6.9,15,05-May-2019,20:20:00,Ok,false,0,0,0,0,0,0,0,0,,,,false,false,false,false,false,false,
RCNX0010.JPG,S15_5.5-6.9,15,05-May-2019,20:25:00,Ok,false,0,0,0,0,0,0,0,0,,,,false,false,false,false,false,false,
RCNX0011.JPG,S15_5.5-6.9,15,05-May-2019,20:30:00,Ok,false,0,0,0,0,0,0,0,0,,,,false,false,false,false,false,false,
RCNX0012.JPG,S15_5.5-6.9,15,05-May-2019,20:35:00,Ok,false,0,0,0,0,0,0,0,0,,,,false,false,false,false,false,false,
RCNX0013.JPG,S15_5.5-6.9,15,05-May-2019,20:40:00,Ok,false,0,0,0,0,0,0,0,0,,,,false,false,false,false,false,false,
RCNX0014.JPG,S15_5.5-6.9,15,05-May-2019,20:45:00,Ok,false,0,0,0,0,0,0,0,0,,,,false,false,false,false,false,false,
RCNX0015.JPG,S15_5.5-6.9,15,05-May-2019,20:50:00,Ok,false,0,0,0,0,0,0,0,0,,,,false,false,false,false,false,false,
RCNX0016.JPG,S15_5.5-6.9,15,05-May-2019,20:55:00,Ok,false,0,0,0,0,0,0,0,0,,,,false,false,false,false,false,false,
RCNX0017.JPG,S15_5.5-6.9,15,05-May-2019,21:00:00,Ok,false,0,0,0,0,0,0,0,0,,,,false,false,false,false,false,false,
RCNX0018.JPG,S15_5.5-6.9,15,05-May-2019,21:05:00,Ok,false,0,0,0,0,0,0,0,0,,,,false,false,false,false,false,false,
RCNX0019.JPG,S15_5.5-6.9,15,05-May-2019,21:10:00,Ok,false,0,0,0,0,0,0,0,0,,,,false,false,false,false,false,false,
RCNX0020.JPG,S15_5.5-6.9,15,05-May-2019,21:15:00,Ok,false,0,0,0,0,0,0,0,0,,,,false,false,false,false,false,false,
RCNX0021.JPG,S15_5.5-6.9,15,05-May-2019,21:20:00,Ok,false,0,0,0,0,0,0,0,0,,,,false,false,false,false,false,false,
RCNX0022.JPG,S15_5.5-6.9,15,05-May-2019,21:25:00,Ok,false,0,0,0,0,0,0,0,0,,,,false,false,false,false,false,false,
RCNX0023.JPG,S15_5.5-6.9,15,05-May-2019,21:30:00,Ok,false,0,0,0,0,0,0,0,0,,,,false,false,false,false,false,false,
RCNX0024.JPG,S15_5.5-6.9,15,05-May-2019,21:35:00,Ok,false,0,0,0,0,0,0,0,0,,,,false,false,false,false,false,false,
RCNX0025.JPG,S15_5.5-6.9,15,05-May-2019,21:40:00,Ok,false,0,0,0,0,0,0,0,0,,,,false,false,false,false,false,false,
RCNX0026.JPG,S15_5.5-6.9,15,05-May-2019,21:45:00,Ok,false,0,0,0,0,0,0,0,0,,,,false,false,false,false,false,false,
