,fileName,RelFilePath,AbsFilePath,Type
0,RCNX1360.JPG,2019/100RECNX,/tank/data/nna/cameraTrap/prudhoe/22/2019/100RECNX/RCNX1360.JPG,Misc_Land_Animal
1,RCNX1366.JPG,2019/100RECNX,/tank/data/nna/cameraTrap/prudhoe/22/2019/100RECNX/RCNX1366.JPG,Misc_Land_Animal
2,RCNX1635.JPG,2019/100RECNX,/tank/data/nna/cameraTrap/prudhoe/22/2019/100RECNX/RCNX1635.JPG,Other
3,RCNX1665.JPG,2019/100RECNX,/tank/data/nna/cameraTrap/prudhoe/22/2019/100RECNX/RCNX1665.JPG,Upland_Game_Bird
4,RCNX1763.JPG,2019/100RECNX,/tank/data/nna/cameraTrap/prudhoe/22/2019/100RECNX/RCNX1763.JPG,Waterfowl
5,RCNX1829.JPG,2019/100RECNX,/tank/data/nna/cameraTrap/prudhoe/22/2019/100RECNX/RCNX1829.JPG,Upland_Game_Bird
6,RCNX1833.JPG,2019/100RECNX,/tank/data/nna/cameraTrap/prudhoe/22/2019/100RECNX/RCNX1833.JPG,Other
7,RCNX1922.JPG,2019/100RECNX,/tank/data/nna/cameraTrap/prudhoe/22/2019/100RECNX/RCNX1922.JPG,Upland_Game_Bird
8,RCNX1923.JPG,2019/100RECNX,/tank/data/nna/cameraTrap/prudhoe/22/2019/100RECNX/RCNX1923.JPG,Upland_Game_Bird
9,RCNX1924.JPG,2019/100RECNX,/tank/data/nna/cameraTrap/prudhoe/22/2019/100RECNX/RCNX1924.JPG,Upland_Game_Bird
10,RCNX1925.JPG,2019/100RECNX,/tank/data/nna/cameraTrap/prudhoe/22/2019/100RECNX/RCNX1925.JPG,Upland_Game_Bird
11,RCNX2019.JPG,2019/100RECNX,/tank/data/nna/cameraTrap/prudhoe/22/2019/100RECNX/RCNX2019.JPG,Waterfowl
12,RCNX2020.JPG,2019/100RECNX,/tank/data/nna/cameraTrap/prudhoe/22/2019/100RECNX/RCNX2020.JPG,Waterfowl
13,RCNX2021.JPG,2019/100RECNX,/tank/data/nna/cameraTrap/prudhoe/22/2019/100RECNX/RCNX2021.JPG,Waterfowl
14,RCNX2022.JPG,2019/100RECNX,/tank/data/nna/cameraTrap/prudhoe/22/2019/100RECNX/RCNX2022.JPG,Waterfowl
15,RCNX2024.JPG,2019/100RECNX,/tank/data/nna/cameraTrap/prudhoe/22/2019/100RECNX/RCNX2024.JPG,Waterfowl
16,RCNX2071.JPG,2019/100RECNX,/tank/data/nna/cameraTrap/prudhoe/22/2019/100RECNX/RCNX2071.JPG,Waterfowl
17,RCNX2072.JPG,2019/100RECNX,/tank/data/nna/cameraTrap/prudhoe/22/2019/100RECNX/RCNX2072.JPG,Waterfowl
18,RCNX2078.JPG,2019/100RECNX,/tank/data/nna/cameraTrap/prudhoe/22/2019/100RECNX/RCNX2078.JPG,Waterfowl
19,RCNX2079.JPG,2019/100RECNX,/tank/data/nna/cameraTrap/prudhoe/22/2019/100RECNX/RCNX2079.JPG,Waterfowl
20,RCNX2080.JPG,2019/100RECNX,/tank/data/nna/cameraTrap/prudhoe/22/2019/100RECNX/RCNX2080.JPG,Waterfowl
21,RCNX2577.JPG,2019/100RECNX,/tank/data/nna/cameraTrap/prudhoe/22/2019/100RECNX/RCNX2577.JPG,Waterfowl
22,RCNX2583.JPG,2019/100RECNX,/tank/data/nna/cameraTrap/prudhoe/22/2019/100RECNX/RCNX2583.JPG,Waterfowl
23,RCNX2584.JPG,2019/100RECNX,/tank/data/nna/cameraTrap/prudhoe/22/2019/100RECNX/RCNX2584.JPG,Waterfowl
24,RCNX2623.JPG,2019/100RECNX,/tank/data/nna/cameraTrap/prudhoe/22/2019/100RECNX/RCNX2623.JPG,Waterfowl
